light	time_min	strain	activity	error_level	rep
acclimation	0	WT	4715.99452118127	low	1
acclimation	0	disease	2215.9945211812706	low	1
acclimation	1	WT	4493.403954239486	low	1
acclimation	1	disease	1993.4039542394858	low	1
acclimation	2	WT	3493.997528647823	low	1
acclimation	2	disease	993.997528647823	low	1
acclimation	3	WT	4493.105784902578	low	1
acclimation	3	disease	1993.1057849025779	low	1
acclimation	4	WT	4588.482599875715	low	1
acclimation	4	disease	2088.4825998757146	low	1
acclimation	5	WT	3583.2373035903133	low	1
acclimation	5	disease	1083.2373035903133	low	1
acclimation	6	WT	4157.557117428478	low	1
acclimation	6	disease	1657.5571174284778	low	1
acclimation	7	WT	3585.9392731458147	low	1
acclimation	7	disease	1085.939273145815	low	1
acclimation	8	WT	4735.596411317511	low	1
acclimation	8	disease	2235.596411317511	low	1
acclimation	9	WT	4154.18584145476	low	1
acclimation	9	disease	1654.1858414547592	low	1
acclimation	10	WT	4110.543446361835	low	1
acclimation	10	disease	1610.5434463618346	low	1
acclimation	11	WT	3991.8317590560664	low	1
acclimation	11	disease	1491.8317590560664	low	1
acclimation	12	WT	5183.335177263156	low	1
acclimation	12	disease	2683.3351772631554	low	1
acclimation	13	WT	3460.560836200549	low	1
acclimation	13	disease	960.5608362005493	low	1
acclimation	14	WT	4283.522134856067	low	1
acclimation	14	disease	1783.522134856067	low	1
acclimation	15	WT	4961.152299008557	low	1
acclimation	15	disease	2461.1522990085573	low	1
acclimation	16	WT	4969.751759939288	low	1
acclimation	16	disease	2469.7517599392877	low	1
acclimation	17	WT	3300.0486807764314	low	1
acclimation	17	disease	800.0486807764312	low	1
acclimation	18	WT	4073.0316907580377	low	1
acclimation	18	disease	1573.0316907580377	low	1
acclimation	19	WT	4090.2364577985927	low	1
acclimation	19	disease	1590.2364577985927	low	1
dark	20	WT	7021.702895222448	low	1
dark	20	disease	4521.702895222448	low	1
dark	21	WT	5759.322313107617	low	1
dark	21	disease	3259.3223131076174	low	1
dark	22	WT	5794.299064927124	low	1
dark	22	disease	3294.299064927124	low	1
dark	23	WT	4805.336700699044	low	1
dark	23	disease	2305.336700699044	low	1
dark	24	WT	4784.0882425514355	low	1
dark	24	disease	2284.0882425514355	low	1
dark	25	WT	5192.5744857141335	low	1
dark	25	disease	2692.5744857141335	low	1
dark	26	WT	4910.612594527844	low	1
dark	26	disease	2410.612594527844	low	1
dark	27	WT	4540.133452406997	low	1
dark	27	disease	2040.1334524069973	low	1
dark	28	WT	3084.871710781482	low	1
dark	28	disease	584.8717107814817	low	1
dark	29	WT	1758.1318591480638	low	1
dark	29	disease	-741.8681408519362	low	1
light	30	WT	0	low	1
light	30	disease	0	low	1
light	31	WT	0	low	1
light	31	disease	0	low	1
light	32	WT	0	low	1
light	32	disease	0	low	1
light	33	WT	0	low	1
light	33	disease	0	low	1
light	34	WT	0	low	1
light	34	disease	0	low	1
light	35	WT	0	low	1
light	35	disease	0	low	1
light	36	WT	0	low	1
light	36	disease	0	low	1
light	37	WT	0	low	1
light	37	disease	0	low	1
light	38	WT	0	low	1
light	38	disease	0	low	1
light	39	WT	0	low	1
light	39	disease	0	low	1
dark	40	WT	6214.730834143311	low	1
dark	40	disease	3714.730834143311	low	1
dark	41	WT	6063.448267085008	low	1
dark	41	disease	3563.448267085008	low	1
dark	42	WT	5087.275032285636	low	1
dark	42	disease	2587.275032285637	low	1
dark	43	WT	5719.199632770937	low	1
dark	43	disease	3219.1996327709367	low	1
dark	44	WT	5398.266068572818	low	1
dark	44	disease	2898.2660685728183	low	1
dark	45	WT	5216.994648555645	low	1
dark	45	disease	2716.9946485556447	low	1
dark	46	WT	4477.206550834319	low	1
dark	46	disease	1977.2065508343192	low	1
dark	47	WT	3121.915182345309	low	1
dark	47	disease	621.915182345309	low	1
dark	48	WT	2469.798379058234	low	1
dark	48	disease	-30.20162094176618	low	1
dark	49	WT	1699.944198453039	low	1
dark	49	disease	-800.055801546961	low	1
light	50	WT	0	low	1
light	50	disease	0	low	1
light	51	WT	0	low	1
light	51	disease	0	low	1
light	52	WT	0	low	1
light	52	disease	0	low	1
light	53	WT	0	low	1
light	53	disease	0	low	1
light	54	WT	0	low	1
light	54	disease	0	low	1
light	55	WT	0	low	1
light	55	disease	0	low	1
light	56	WT	0	low	1
light	56	disease	0	low	1
light	57	WT	0	low	1
light	57	disease	0	low	1
light	58	WT	0	low	1
light	58	disease	0	low	1
light	59	WT	0	low	1
light	59	disease	0	low	1
dark	60	WT	6100.02805533241	low	1
dark	60	disease	3600.0280553324096	low	1
dark	61	WT	4949.336872294352	low	1
dark	61	disease	2449.336872294352	low	1
dark	62	WT	5403.9419477509855	low	1
dark	62	disease	2903.941947750985	low	1
dark	63	WT	5651.268604232575	low	1
dark	63	disease	3151.268604232575	low	1
dark	64	WT	4977.053255311658	low	1
dark	64	disease	2477.053255311658	low	1
dark	65	WT	4610.493300324039	low	1
dark	65	disease	2110.493300324039	low	1
dark	66	WT	3448.84489358655	low	1
dark	66	disease	948.84489358655	low	1
dark	67	WT	2693.5399100870886	low	1
dark	67	disease	193.53991008708886	low	1
dark	68	WT	2137.404124300523	low	1
dark	68	disease	-362.59587569947684	low	1
dark	69	WT	3067.197331948619	low	1
dark	69	disease	567.1973319486191	low	1
light	70	WT	0	low	1
light	70	disease	0	low	1
light	71	WT	0	low	1
light	71	disease	0	low	1
light	72	WT	0	low	1
light	72	disease	0	low	1
light	73	WT	0	low	1
light	73	disease	0	low	1
light	74	WT	0	low	1
light	74	disease	0	low	1
light	75	WT	0	low	1
light	75	disease	0	low	1
light	76	WT	0	low	1
light	76	disease	0	low	1
light	77	WT	0	low	1
light	77	disease	0	low	1
light	78	WT	0	low	1
light	78	disease	0	low	1
light	79	WT	0	low	1
light	79	disease	0	low	1
dark	80	WT	6296.14309249358	low	1
dark	80	disease	3796.1430924935803	low	1
dark	81	WT	5455.348769909226	low	1
dark	81	disease	2955.348769909226	low	1
dark	82	WT	5242.105063822184	low	1
dark	82	disease	2742.1050638221845	low	1
dark	83	WT	5228.874809622031	low	1
dark	83	disease	2728.874809622031	low	1
dark	84	WT	4636.972178028499	low	1
dark	84	disease	2136.972178028499	low	1
dark	85	WT	3866.320926745119	low	1
dark	85	disease	1366.320926745119	low	1
dark	86	WT	2781.4811212308423	low	1
dark	86	disease	281.4811212308424	low	1
dark	87	WT	2564.462513158427	low	1
dark	87	disease	64.46251315842696	low	1
dark	88	WT	3165.23636352903	low	1
dark	88	disease	665.2363635290301	low	1
dark	89	WT	1566.1315869813284	low	1
dark	89	disease	-933.8684130186717	low	1
acclimation	0	WT	4441.3555063855465	moderate	1
acclimation	0	disease	1941.3555063855463	moderate	1
acclimation	1	WT	4476.91798569093	moderate	1
acclimation	1	disease	1976.91798569093	moderate	1
acclimation	2	WT	3684.2713877086344	moderate	1
acclimation	2	disease	1184.2713877086346	moderate	1
acclimation	3	WT	4903.892241573362	moderate	1
acclimation	3	disease	2403.8922415733628	moderate	1
acclimation	4	WT	4634.112908504014	moderate	1
acclimation	4	disease	2134.112908504014	moderate	1
acclimation	5	WT	3883.684100618607	moderate	1
acclimation	5	disease	1383.684100618607	moderate	1
acclimation	6	WT	4264.54090428792	moderate	1
acclimation	6	disease	1764.5409042879205	moderate	1
acclimation	7	WT	3637.942555288895	moderate	1
acclimation	7	disease	1137.9425552888952	moderate	1
acclimation	8	WT	3896.661784953161	moderate	1
acclimation	8	disease	1396.6617849531606	moderate	1
acclimation	9	WT	5180.696888518606	moderate	1
acclimation	9	disease	2680.6968885186066	moderate	1
acclimation	10	WT	3713.660032144559	moderate	1
acclimation	10	disease	1213.6600321445587	moderate	1
acclimation	11	WT	4144.658139612134	moderate	1
acclimation	11	disease	1644.658139612134	moderate	1
acclimation	12	WT	5567.751696359353	moderate	1
acclimation	12	disease	3067.7516963593534	moderate	1
acclimation	13	WT	3962.206920380093	moderate	1
acclimation	13	disease	1462.2069203800932	moderate	1
acclimation	14	WT	3097.3942071776305	moderate	1
acclimation	14	disease	597.3942071776305	moderate	1
acclimation	15	WT	5897.7930662445915	moderate	1
