sn	datatype	location	animal	aname	areaid	timebinid	pn	start	end	startreason	endreason	stdate	sttime	algostatus	phename	expdur	period	frect	fredur	midct	burct	burdur	actinteg	operator	locationcode	samplecode	active	parallelize	skipimagecount	showdetectioninexperiment	sensthr	xscale	yscale	scaleunit	behavname	burstthr	freezthr	chronolog	helpder column	column
1	QuantizationSum	LocA01		A01_Name	212	1	1	0	60	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						4715.99452118127	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	0	60	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						2215.9945211812706	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	60	120	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						4493.403954239486	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	60	120	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						1993.4039542394855	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	120	180	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						3493.997528647823	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	120	180	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						993.997528647823	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	180	240	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						4493.105784902578	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	180	240	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						1993.105784902578	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	240	300	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						4588.482599875715	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	240	300	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						2088.482599875714	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	300	360	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						3583.2373035903133	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	300	360	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						1083.237303590313	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	360	420	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						4157.557117428478	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	360	420	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						1657.5571174284778	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	420	480	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						3585.9392731458147	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	420	480	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						1085.939273145815	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	480	540	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						4735.596411317511	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA13		B01_Name	224	1	1	480	540	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						2235.596411317511	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
1	QuantizationSum	LocA01		A01_Name	212	1	1	540	600	Beginning of period	End of period	7/10/25	12:27:43		C:\Users\ZEB8159\Documents\Tyler OHara\20min-light-acclimation-4cycles-10mins-on-off.phe	001:40:05	000:01:00						4154.18584145476	ZEB8159			1	0	1	0	20	1	1	pixel	QuantizationSum	2000	500	0	0	1
